scientific_name,common_name,order,family,iucn_status,rare_accidental,wpa_schedule,soib_priority,wh_endemic,n_recordings
Phylloscopus collybita,Common Chiffchaff,Passeriformes,Phylloscopidae,,no,Schedule-II,Low,no,0
Phylloscopus fuscatus,Dusky Warbler,Passeriformes,Phylloscopidae,,yes,,,no,0
Phylloscopus inornatus,Yellow-browed Warbler,Passeriformes,Phylloscopidae,,no,,,no,0
Phylloscopus maculipennis,Ashy-throated Warbler,Passeriformes,Phylloscopidae,,no,Schedule-II,Moderate,no,0
Phylloscopus neglectus,Plain Leaf Warbler,Passeriformes,Phylloscopidae,,no,,,no,0
Phylloscopus nitidus,Green Warbler,Passeriformes,Phylloscopidae,,no,Schedule-II,,no,0
Phylloscopus proregulus,Pallas's Leaf Warbler,Passeriformes,Phylloscopidae,,yes,,,no,0
Phylloscopus sibilatrix,Wood Warbler,Passeriformes,Phylloscopidae,,yes,,,no,0
Phylloscopus subviridis,Brooks's Leaf Warbler,Passeriformes,Phylloscopidae,,no,,,no,0
Phylloscopus trochilus,Willow Warbler,Passeriformes,Phylloscopidae,,yes,,,no,0
Phylloscopus whistleri,Whistler's Warbler,Passeriformes,Phylloscopidae,,no,Schedule-II,Low,no,0
Picumnus innominatus,Speckled Piculet,Piciformes,Picidae,,no,Schedule-II,Low,no,0
Picus canus,Gray-headed Woodpecker,Piciformes,Picidae,,no,Schedule-II,Low,no,0
Picus xanthopygaeus,Streak-throated Woodpecker,Piciformes,Picidae,,no,Schedule-II,Low,no,0
Pitta brachyura,Indian Pitta,Passeriformes,Pittidae,,no,Schedule-II,Low,no,0
Platalea leucorodia,Eurasian Spoonbill,Pelecaniformes,Threskiornithidae,,no,Schedule-I,High,no,0
Plegadis falcinellus,Glossy Ibis,Pelecaniformes,Threskiornithidae,,no,Schedule-II,Low,no,0
Plocealauda assamica,Bengal Bushlark,Passeriformes,Alaudidae,,no,Schedule-II,Low,no,0
Plocealauda erythroptera,Indian Bushlark,Passeriformes,Alaudidae,,yes,Schedule-II,Moderate,no,0
Ploceus benghalensis,Black-breasted Weaver,Passeriformes,Ploceidae,,no,Schedule-II,Low,no,0
Ploceus manyar,Streaked Weaver,Passeriformes,Ploceidae,,no,Schedule-II,Moderate,no,0
Ploceus philippinus,Baya Weaver,Passeriformes,Ploceidae,,no,Schedule-II,Low,no,0
Pluvialis fulva,Pacific Golden-Plover,Charadriiformes,Charadriidae,,no,Schedule-I,Moderate,no,0
Pluvialis squatarola,Black-bellied Plover,Charadriiformes,Charadriidae,Vulnerable,no,Schedule-II,High,no,0
Pnoepyga albiventer,Scaly-breasted Cupwing,Passeriformes,Pnoepygidae,,no,Schedule-II,Low,no,0
Podiceps auritus,Horned Grebe,Podicipediformes,Podicipedidae,Vulnerable,no,Schedule-II,,no,0
Podiceps cristatus,Great Crested Grebe,Podicipediformes,Podicipedidae,,no,Schedule-II,High,no,0
Podiceps grisegena,Red-necked Grebe,Podicipediformes,Podicipedidae,,no,,,no,0
Podiceps nigricollis,Eared Grebe,Podicipediformes,Podicipedidae,,no,Schedule-II,,no,0
Pomatorhinus horsfieldii,Indian Scimitar-Babbler,Passeriformes,Timaliidae,,no,,,no,0
Pomatorhinus schisticeps,White-browed Scimitar-Babbler,Passeriformes,Timaliidae,,no,Schedule-II,Low,no,0
Porphyrio poliocephalus,Gray-headed Swamphen,Gruiformes,Rallidae,,no,Schedule-II,Low,no,0
Porzana porzana,Spotted Crake,Gruiformes,Rallidae,,no,Schedule-II,,no,0
Prinia buchanani,Rufous-fronted Prinia,Passeriformes,Cisticolidae,,no,,,no,0
Prinia cinereocapilla,Gray-crowned Prinia,Passeriformes,Cisticolidae,Vulnerable,no,,,no,0
Prinia flaviventris,Yellow-bellied Prinia,Passeriformes,Cisticolidae,,no,Schedule-II,Low,no,0
Prinia hodgsonii,Gray-breasted Prinia,Passeriformes,Cisticolidae,,no,Schedule-II,Low,no,0
Prinia inornata,Plain Prinia,Passeriformes,Cisticolidae,,no,Schedule-II,Low,no,0
Prinia lepida,Delicate Prinia,Passeriformes,Cisticolidae,,no,Schedule-II,Low,no,0
Prinia socialis,Ashy Prinia,Passeriformes,Cisticolidae,,no,Schedule-II,Low,no,0
Prinia sylvatica,Jungle Prinia,Passeriformes,Cisticolidae,,no,Schedule-II,Low,no,0
Procarduelis nipalensis,Dark-breasted Rosefinch,Passeriformes,Fringillidae,,no,Schedule-II,Low,no,0
Prunella atrogularis,Black-throated Accentor,Passeriformes,Prunellidae,,no,Schedule-II,,no,0
Prunella collaris,Alpine Accentor,Passeriformes,Prunellidae,,no,Schedule-II,Low,no,0
Prunella himalayana,Altai Accentor,Passeriformes,Prunellidae,,no,Schedule-II,Moderate,no,0
Prunella immaculata,Maroon-backed Accentor,Passeriformes,Prunellidae,,no,,,no,0
Psarisomus dalhousiae,Long-tailed Broadbill,Passeriformes,Eurylaimidae,,no,,,no,0
Pseudibis papillosa,Red-naped Ibis,Pelecaniformes,Threskiornithidae,,no,Schedule-II,Low,no,0
Psilopogon haemacephalus,Coppersmith Barbet,Piciformes,Megalaimidae,,no,Schedule-II,Low,no,0
Psilopogon lineatus,Lineated Barbet,Piciformes,Megalaimidae,,no,Schedule-II,Low,no,0
Psilopogon zeylanicus,Brown-headed Barbet,Piciformes,Megalaimidae,,no,Schedule-II,Low,no,0
Psittacula alexandri,Red-breasted Parakeet,Psittaciformes,Psittaculidae,Near-threatened,no,,,no,0
Psittacula cyanocephala,Plum-headed Parakeet,Psittaciformes,Psittaculidae,,no,Schedule-II,Low,no,0
Psittacula eupatria,Alexandrine Parakeet,Psittaciformes,Psittaculidae,,no,Schedule-II,Low,no,0
Psittacula roseata,Blossom-headed Parakeet,Psittaciformes,Psittaculidae,Near-threatened,no,,,no,0
Pterocles alchata,Pin-tailed Sandgrouse,Pterocliformes,Pteroclidae,,no,,,no,0
Pterocles exustus,Chestnut-bellied Sandgrouse,Pterocliformes,Pteroclidae,,no,Schedule-II,Low,no,0
Pterocles indicus,Painted Sandgrouse,Pterocliformes,Pteroclidae,,no,,,no,0
Pterocles orientalis,Black-bellied Sandgrouse,Pterocliformes,Pteroclidae,,no,,,no,0
Pterorhinus albogularis,White-throated Laughingthrush,Passeriformes,Leiothrichidae,,no,Schedule-II,Low,no,0
Pteruthius aeralatus,White-browed Shrike-Babbler,Passeriformes,Vireonidae,,no,Schedule-II,Low,no,0
Pteruthius xanthochlorus,Green Shrike-Babbler,Passeriformes,Vireonidae,,no,Schedule-II,Low,no,0
Pycnonotus cafer,Red-vented Bulbul,Passeriformes,Pycnonotidae,,no,Schedule-II,Low,no,0
Pycnonotus leucotis,White-eared Bulbul,Passeriformes,Pycnonotidae,,no,,,no,0
Pyrgilauda ruficollis,Rufous-necked Snowfinch,Passeriformes,Passeridae,,yes,,,no,0
Pyrrhoplectes epauletta,Gold-naped Finch,Passeriformes,Fringillidae,,no,,,no,0
Pyrrhula erythrocephala,Red-headed Bullfinch,Passeriformes,Fringillidae,,no,Schedule-II,Low,no,0
Recurvirostra avosetta,Pied Avocet,Charadriiformes,Recurvirostridae,,no,Schedule-II,High,no,0
Remiz coronatus,White-crowned Penduline-Tit,Passeriformes,Remizidae,,no,,,no,0
Rhipidura albicollis,White-throated Fantail,Passeriformes,Rhipiduridae,,no,Schedule-II,Low,no,0
Rhipidura aureola,White-browed Fantail,Passeriformes,Rhipiduridae,,no,Schedule-II,Moderate,no,0
Rhodopechys sanguineus,Crimson-winged Finch,Passeriformes,Fringillidae,,yes,,,no,0
Rhodospiza obsoleta,Desert Finch,Passeriformes,Fringillidae,,yes,,,no,0
Riparia chinensis,Gray-throated Martin,Passeriformes,Hirundinidae,,no,Schedule-II,Moderate,no,0
Riparia diluta,Pale Martin,Passeriformes,Hirundinidae,,no,Schedule-II,,no,0
Riparia riparia,Bank Swallow,Passeriformes,Hirundinidae,,no,Schedule-II,Low,no,0
Rissa tridactyla,Black-legged Kittiwake,Charadriiformes,Laridae,Vulnerable,yes,,,no,0
Rostratula benghalensis,Greater Painted-Snipe,Charadriiformes,Rostratulidae,,no,Schedule-II,Low,no,0
Sarcogyps calvus,Red-headed Vulture,Accipitriformes,Accipitridae,Critically endangered,yes,,,no,0
Sarkidiornis melanotos,Knob-billed Duck,Anseriformes,Anatidae,,no,Schedule-II,Low,no,0
Saroglossa spilopterus,Spot-winged Starling,Passeriformes,Sturnidae,,no,Schedule-II,High,no,0
Saxicola caprata,Pied Bushchat,Passeriformes,Muscicapidae,,no,Schedule-II,Low,no,0
