scientific_name,common_name,order,family,iucn_status,rare_accidental,wpa_schedule,soib_priority,wh_endemic
Hierococcyx sparverioides,Large Hawk-Cuckoo,Cuculiformes,Cuculidae,,no,,,no
Hierococcyx varius,Common Hawk-Cuckoo,Cuculiformes,Cuculidae,,no,Schedule-II,Low,no
Himantopus himantopus,Black-winged Stilt,Charadriiformes,Recurvirostridae,,no,Schedule-II,Low,no
Hippolais icterina,Icterine Warbler,Passeriformes,Acrocephalidae,,yes,,,no
Hirundapus caudacutus,White-throated Needletail,Apodiformes,Apodidae,,no,Schedule-II,,no
Hirundo rustica,Barn Swallow,Passeriformes,Hirundinidae,,no,Schedule-II,Moderate,no
Hirundo smithii,Wire-tailed Swallow,Passeriformes,Hirundinidae,,no,Schedule-II,Low,no
Horornis brunnescens,Hume's Bush Warbler,Passeriformes,Cettiidae,,no,,,no
Hydrocoloeus minutus,Little Gull,Charadriiformes,Laridae,,yes,,,no
Hydrophasianus chirurgus,Pheasant-tailed Jacana,Charadriiformes,Jacanidae,,no,Schedule-II,Moderate,no
Hypothymis azurea,Black-naped Monarch,Passeriformes,Monarchidae,,no,Schedule-II,Low,no
Ianthocincla rufogularis,Rufous-chinned Laughingthrush,Passeriformes,Leiothrichidae,,no,Schedule-II,Moderate,no
Ichthyaetus ichthyaetus,Pallas's Gull,Charadriiformes,Laridae,,no,Schedule-II,Moderate,no
Icthyophaga humilis,Lesser Fish-Eagle,Accipitriformes,Accipitridae,Near-threatened,no,Schedule-I,Low,no
Icthyophaga ichthyaetus,Gray-headed Fish-Eagle,Accipitriformes,Accipitridae,Near-threatened,no,,,no
Ictinaetus malaiensis,Black Eagle,Accipitriformes,Accipitridae,,no,Schedule-I,Low,no
Iduna caligata,Booted Warbler,Passeriformes,Acrocephalidae,,no,Schedule-II,Low,no
Iduna rama,Sykes's Warbler,Passeriformes,Acrocephalidae,,no,Schedule-II,,no
Indicator xanthonotus,Yellow-rumped Honeyguide,Piciformes,Indicatoridae,,no,,,no
Ketupa coromanda,Dusky Eagle-Owl,Strigiformes,Strigidae,,no,,,no
Ketupa flavipes,Tawny Fish-Owl,Strigiformes,Strigidae,,no,,,no
Ketupa nipalensis,Spot-bellied Eagle-Owl,Strigiformes,Strigidae,,no,,,no
Ketupa zeylonensis,Brown Fish-Owl,Strigiformes,Strigidae,,no,Schedule-I,Moderate,no
Lalage melanoptera,Black-headed Cuckooshrike,Passeriformes,Campephagidae,,no,Schedule-II,Low,no
Lalage melaschistos,Black-winged Cuckooshrike,Passeriformes,Campephagidae,,no,Schedule-II,Low,no
Lanius collurio,Red-backed Shrike,Passeriformes,Laniidae,,no,,,no
Lanius cristatus,Brown Shrike,Passeriformes,Laniidae,,no,Schedule-II,Low,no
Lanius excubitor,Great Gray Shrike,Passeriformes,Laniidae,,no,Schedule-II,High,no
Lanius isabellinus,Isabelline Shrike,Passeriformes,Laniidae,,no,Schedule-II,High,no
Lanius minor,Lesser Gray Shrike,Passeriformes,Laniidae,,yes,Schedule-II,,no
Lanius nubicus,Masked Shrike,Passeriformes,Laniidae,,yes,,,no
Lanius phoenicuroides,Red-tailed Shrike,Passeriformes,Laniidae,,no,,,no
Lanius schach,Long-tailed Shrike,Passeriformes,Laniidae,,no,Schedule-II,Low,no
Lanius tephronotus,Gray-backed Shrike,Passeriformes,Laniidae,,no,Schedule-II,Low,no
Lanius vittatus,Bay-backed Shrike,Passeriformes,Laniidae,,no,Schedule-II,Low,no
Larus cachinnans,Caspian Gull,Charadriiformes,Laridae,,no,Schedule-II,,no
Larus canus,Common Gull,Charadriiformes,Laridae,,yes,Schedule-II,,no
Larus fuscus,Lesser Black-backed Gull,Charadriiformes,Laridae,,no,Schedule-II,Moderate,no
Laticilla burnesii,Rufous-vented Grass Babbler,Passeriformes,Pellorneidae,Near-threatened,no,Schedule-I,Moderate,no
Leiopicus mahrattensis,Yellow-crowned Woodpecker,Piciformes,Picidae,,no,Schedule-I,High,no
Leiothrix lutea,Red-billed Leiothrix,Passeriformes,Leiothrichidae,,no,Schedule-II,Low,no
Lerwa lerwa,Snow Partridge,Galliformes,Phasianidae,,no,Schedule-II,,no
Leucogeranus leucogeranus,Siberian Crane,Gruiformes,Gruidae,Critically endangered,no,,,no
Limosa lapponica,Bar-tailed Godwit,Charadriiformes,Scolopacidae,Near-threatened,no,,,no
Limosa limosa,Black-tailed Godwit,Charadriiformes,Scolopacidae,Near-threatened,no,Schedule-II,High,no
Linaria cannabina,Eurasian Linnet,Passeriformes,Fringillidae,,no,,,no
Locustella lanceolata,Lanceolated Warbler,Passeriformes,Locustellidae,,no,,,no
Locustella naevia,Common Grasshopper Warbler,Passeriformes,Locustellidae,,no,Schedule-II,,no
Lonchura malacca,Tricolored Munia,Passeriformes,Estrildidae,,yes,Schedule-II,Low,no
Lonchura punctulata,Scaly-breasted Munia,Passeriformes,Estrildidae,,no,Schedule-II,Low,no
Lonchura striata,White-rumped Munia,Passeriformes,Estrildidae,,no,,,no
Lophophanes dichrous,Gray-crested Tit,Passeriformes,Paridae,,no,,,no
Lophophorus impejanus,Himalayan Monal,Galliformes,Phasianidae,,no,Schedule-I,Low,no
